codetype,code,text,
municipalno,240,"Egedal",
municipalno,25,"Kvalsvig (Færøerne)",
municipalno,250,"Frederikssund",
municipalno,251,"(Gammelt kommunenr.)",
municipalno,253,"Greve",
municipalno,255,"(Gammelt kommunenr.)",
municipalno,257,"(Gammelt kommunenr.)",
municipalno,259,"Køge",
municipalno,26,"Thorsvig (Færøerne)",
municipalno,260,"Frederiksværk-Hundested",
municipalno,261,"(Gammelt kommunenr.)",
municipalno,263,"(Gammelt kommunenr.)",
municipalno,265,"Roskilde",
municipalno,267,"(Gammelt kommunenr.)",
municipalno,269,"Solrød",
municipalno,27,"Kollefjord (Færøerne)",
municipalno,270,"Gribskov",
municipalno,271,"(Gammelt kommunenr.)",
municipalno,28,"Kvivig (Færøerne)",
municipalno,29,"Vestmanhavn (Færøerne)",
municipalno,301,"(Gammelt kommunenr.)",
municipalno,303,"(Gammelt kommunenr.)",
municipalno,305,"(Gammelt kommunenr.)",
municipalno,306,"Odsherred",
municipalno,307,"(Gammelt kommunenr.)",
municipalno,309,"(Gammelt kommunenr.)",
municipalno,31,"Thorshavn udenbys (Færøerne)",
municipalno,311,"(Gammelt kommunenr.)",
municipalno,313,"(Gammelt kommunenr.)",
municipalno,315,"(Gammelt kommunenr.)",
municipalno,316,"Holbæk",
municipalno,317,"(Gammelt kommunenr.)",
municipalno,319,"(Gammelt kommunenr.)",
municipalno,32,"Kirkebø (Færøerne)",
municipalno,320,"Faxe",
municipalno,321,"(Gammelt kommunenr.)",
municipalno,323,"(Gammelt kommunenr.)",
municipalno,325,"(Gammelt kommunenr.)",
municipalno,326,"Kalundborg",
municipalno,327,"(Gammelt kommunenr.)",
municipalno,329,"Ringsted",
municipalno,33,"Hestø (Færøerne)",
municipalno,330,"Slagelse",
municipalno,331,"(Gammelt kommunenr.)",
municipalno,333,"(Gammelt kommunenr.)",
municipalno,335,"(Gammelt kommunenr.)",
municipalno,336,"Stevns",
municipalno,337,"(Gammelt kommunenr.)",
municipalno,339,"(Gammelt kommunenr.)",
municipalno,34,"Nolsø (Færøerne)",
municipalno,340,"Sorø",
municipalno,341,"(Gammelt kommunenr.)",
municipalno,343,"(Gammelt kommunenr.)",
municipalno,345,"(Gammelt kommunenr.)",
municipalno,35,"Sandevåg (Færøerne)",
municipalno,350,"Lejre",
municipalno,351,"(Gammelt kommunenr.)",
municipalno,353,"(Gammelt kommunenr.)",
municipalno,355,"(Gammelt kommunenr.)",
municipalno,357,"(Gammelt kommunenr.)",
municipalno,359,"(Gammelt kommunenr.)",
municipalno,36,"Midvåg (Færøerne)",
municipalno,360,"Lolland",
municipalno,361,"(Gammelt kommunenr.)",
municipalno,363,"(Gammelt kommunenr.)",
municipalno,365,"(Gammelt kommunenr.)",
municipalno,367,"(Gammelt kommunenr.)",
municipalno,369,"(Gammelt kommunenr.)",
municipalno,37,"Sørvåg (Færøerne)",
municipalno,370,"Næstved",
municipalno,371,"(Gammelt kommunenr.)",
municipalno,373,"(Gammelt kommunenr.)",
municipalno,375,"(Gammelt kommunenr.)",
municipalno,376,"Guldborgsund",
municipalno,377,"(Gammelt kommunenr.)",
municipalno,379,"(Gammelt kommunenr.)",
municipalno,38,"Bø (Færøerne)",
municipalno,381,"(Gammelt kommunenr.)",
municipalno,383,"(Gammelt kommunenr.)",
municipalno,385,"(Gammelt kommunenr.)",
municipalno,387,"(Gammelt kommunenr.)",
municipalno,389,"(Gammelt kommunenr.)",
municipalno,39,"Myggenæs (Færøerne)",
municipalno,390,"Vordingborg",
municipalno,391,"(Gammelt kommunenr.)",
municipalno,393,"(Gammelt kommunenr.)",
municipalno,395,"(Gammelt kommunenr.)",
municipalno,397,"(Gammelt kommunenr.)",
municipalno,40,"Sand (Færøerne)",
municipalno,400,"Bornholm",
municipalno,401,"(Gammelt kommunenr.)",
municipalno,402,"(Gammelt kommunenr.)",
municipalno,403,"(Gammelt kommunenr.)",
municipalno,404,"(Gammelt kommunenr.)",
municipalno,405,"(Gammelt kommunenr.)",
municipalno,407,"Rønne Kommune",
municipalno,409,"Aakirkeby Kommune",
municipalno,41,"Skopen (Færøerne)",
municipalno,410,"Middelfart",
municipalno,411,"Christiansø",
municipalno,42,"Skålevig (Færøerne)",
municipalno,420,"Assens",
municipalno,421,"(Gammelt kommunenr.)",
municipalno,423,"(Gammelt kommunenr.)",
municipalno,425,"(Gammelt kommunenr.)",
municipalno,427,"(Gammelt kommunenr.)",
municipalno,429,"(Gammelt kommunenr.)",
municipalno,43,"Husevig (Færøerne)",
municipalno,430,"Faaborg-Midtfyn",
municipalno,431,"(Gammelt kommunenr.)",
municipalno,433,"(Gammelt kommunenr.)",
municipalno,435,"(Gammelt kommunenr.)",
municipalno,437,"(Gammelt kommunenr.)",
municipalno,439,"(Gammelt kommunenr.)",
municipalno,44,"Skuø (Færøerne)",
municipalno,440,"Kerteminde",
municipalno,441,"(Gammelt kommunenr.)",
municipalno,443,"(Gammelt kommunenr.)",
municipalno,445,"(Gammelt kommunenr.)",
municipalno,447,"(Gammelt kommunenr.)",
municipalno,449,"(Gammelt kommunenr.)",
municipalno,45,"Kvalbø (Færøerne)",
municipalno,450,"Nyborg",
municipalno,451,"(Gammelt kommunenr.)",
municipalno,46,"Frodebø (Færøerne)",
municipalno,461,"Odense",
municipalno,47,"Famien (Færøerne)",
municipalno,471,"(Gammelt kommunenr.)",
municipalno,473,"(Gammelt kommunenr.)",
municipalno,475,"(Gammelt kommunenr.)",
municipalno,477,"(Gammelt kommunenr.)",
municipalno,479,"Svendborg",
municipalno,48,"Hove (Færøerne)",
municipalno,480,"Nordfyns",
municipalno,481,"(Gammelt kommunenr.)",
municipalno,482,"Langeland",
municipalno,483,"(Gammelt kommunenr.)",
municipalno,485,"(Gammelt kommunenr.)",
municipalno,487,"(Gammelt kommunenr.)",
municipalno,489,"(Gammelt kommunenr.)",
municipalno,49,"Forkere (Færøerne)",
municipalno,491,"(Gammelt kommunenr.)",
municipalno,492,"Ærø Kommune",
municipalno,493,"(Gammelt kommunenr.)",
municipalno,495,"(Gammelt kommunenr.)",
municipalno,497,"(Gammelt kommunenr.)",
municipalno,499,"(Gammelt kommunenr.)",
municipalno,50,"Våg (Færøerne)",
municipalno,501,"(Gammelt kommunenr.)",
municipalno,503,"(Gammelt kommunenr.)",
municipalno,505,"(Gammelt kommunenr.)",
municipalno,507,"(Gammelt kommunenr.)",
municipalno,509,"(Gammelt kommunenr.)",
municipalno,51,"Sumbø (Færøerne)",
municipalno,510,"Haderslev",
municipalno,511,"(Gammelt kommunenr.)",
municipalno,513,"(Gammelt kommunenr.)",
municipalno,515,"(Gammelt kommunenr.)",
municipalno,517,"(Gammelt kommunenr.)",
municipalno,519,"(Gammelt kommunenr.)",
municipalno,521,"(Gammelt kommunenr.)",
municipalno,523,"(Gammelt kommunenr.)",
municipalno,525,"(Gammelt kommunenr.)",
municipalno,527,"(Gammelt kommunenr.)",
municipalno,529,"(Gammelt kommunenr.)",
municipalno,530,"Billund",
municipalno,531,"(Gammelt kommunenr.)",
municipalno,533,"(Gammelt kommunenr.)",
municipalno,535,"(Gammelt kommunenr.)",
municipalno,537,"(Gammelt kommunenr.)",
municipalno,539,"(Gammelt kommunenr.)",
municipalno,540,"Sønderborg",
municipalno,541,"(Gammelt kommunenr.)",
municipalno,543,"(Gammelt kommunenr.)",
municipalno,545,"(Gammelt kommunenr.)",
municipalno,550,"Tønder",
municipalno,551,"(Gammelt kommunenr.)",
municipalno,553,"(Gammelt kommunenr.)",
municipalno,555,"(Gammelt kommunenr.)",
municipalno,557,"(Gammelt kommunenr.)",
municipalno,559,"(Gammelt kommunenr.)",
municipalno,561,"Esbjerg",
municipalno,563,"Fanø",
municipalno,565,"(Gammelt kommunenr.)",
municipalno,567,"(Gammelt kommunenr.)",
municipalno,569,"(Gammelt kommunenr.)",
municipalno,571,"(Gammelt kommunenr.)",
municipalno,573,"Varde",
municipalno,575,"Vejen",
municipalno,577,"(Gammelt kommunenr.)",
municipalno,580,"Aabenraa",
municipalno,601,"(Gammelt kommunenr.)",
municipalno,603,"(Gammelt kommunenr.)",
municipalno,605,"(Gammelt kommunenr.)",
municipalno,607,"Fredericia",
municipalno,609,"(Gammelt kommunenr.)",
municipalno,611,"(Gammelt kommunenr.)",
municipalno,613,"(Gammelt kommunenr.)",
municipalno,615,"Horsens",
municipalno,617,"(Gammelt kommunenr.)",
municipalno,619,"(Gammelt kommunenr.)",
municipalno,621,"Kolding",
municipalno,623,"(Gammelt kommunenr.)",
municipalno,625,"(Gammelt kommunenr.)",
municipalno,627,"(Gammelt kommunenr.)",
